departement,tp60_a17,DISP_TP60_A21
001,41.2,44.6
002,49.688235294117646,54.81818181818182
003,46.71666666666667,44.5
004,42.86666666666667,44.0
005,40.5,
006,40.99375,42.42857142857143
007,47.9,51.0
008,47.6375,50.57142857142857
009,41.4,42.0
010,51.42,54.0
011,50.33,52.0
012,47.55,52.0
013,45.2,47.50869565217391
014,44.15555555555555,47.75
015,41.4,
016,50.333333333333336,54.333333333333336
017,42.128571428571426,42.5
018,46.875,49.25
019,40.699999999999996,44.0
021,40.56666666666666,45.4
022,44.114285714285714,50.25
023,44.0,51.0
024,41.3,42.333333333333336
025,42.21666666666667,48.888888888888886
026,45.34166666666667,47.3
027,45.32727272727273,46.375
028,46.790000000000006,51.5
029,44.06666666666667,48.285714285714285
030,48.36666666666667,51.64705882352941
031,40.58947368421053,42.554545454545455
032,59.7,61.0
033,38.58695652173913,40.0
034,47.377272727272725,50.526315789473685
035,44.357142857142854,48.666666666666664
036,44.375,51.75
037,45.675000000000004,48.1
038,41.11538461538461,44.89473684210526
039,46.675000000000004,52.5
040,39.14,43.0
041,52.76666666666667,56.333333333333336
042,43.90526315789474,46.083333333333336
043,41.8,45.0
044,44.61578947368421,46.86666666666667
045,45.921052631578945,49.0
046,38.8,
047,47.771428571428565,49.285714285714285
049,44.776923076923076,45.5
050,38.800000000000004,40.285714285714285
051,46.48333333333333,50.333333333333336
052,48.325,51.666666666666664
053,46.9,53.333333333333336
054,44.11666666666667,49.46153846153846
055,47.0,49.333333333333336
056,48.15555555555555,48.0
057,47.05833333333334,49.25
058,47.040000000000006,52.2
059,42.85934065934066,45.39545454545454
060,43.24444444444444,45.0
061,50.91428571428571,55.2
062,43.1296875,43.58
063,46.94285714285714,51.0
064,44.25,48.5
065,47.725,48.5
066,53.81,54.625
067,43.67142857142857,44.89473684210526
068,43.39,48.26666666666667
069,40.80930232558139,43.21875
070,49.660000000000004,52.0
071,44.607692307692304,49.333333333333336
072,49.42857142857143,51.8
073,37.725,41.5
074,38.71666666666667,45.0
075,33.36842105263158,33.81666666666667
076,42.753571428571426,46.95652173913044
077,36.11666666666667,38.285714285714285
078,33.423809523809524,36.05263157894737
079,49.72,52.25
080,46.333333333333336,50.142857142857146
081,49.10909090909092,51.111111111111114
082,44.725,43.0
083,47.352380952380955,48.588235294117645
084,50.51818181818182,51.625
085,39.05,39.666666666666664
086,47.48333333333333,53.0
087,50.21111111111111,52.5
088,48.349999999999994,52.0
089,47.1,49.8
090,41.32,51.333333333333336
091,34.847368421052636,36.96296296296296
092,32.49047619047619,33.9
093,37.75396825396825,38.60333333333333
094,35.81428571428572,36.705882352941174
095,35.173170731707316,37.03448275862069
972,43.57142857142857,40.42857142857143
974,53.406122448979595,52.8125
